,CustomerID,Age,Gender,ProductCategory,PurchaseAmount,PurchaseDate
0,1001,22,Non-Binary,Home,5.64,2024-04-05
1,1002,21,Male,Beauty,65.29,2024-01-04
2,1003,29,Male,Books,84.36,2024-03-23
3,1004,27,Non-Binary,Clothing,70.89,2024-05-15
4,1005,34,Female,Electronics,65.55,2024-02-18
5,1006,20,Male,Clothing,11.64,2024-01-05
6,1007,42,Male,Books,26.63,2024-06-22
7,1008,45,Male,Electronics,216.55,2024-01-02
8,1009,38,Non-Binary,Books,36.28,2024-06-09
9,1010,24,Male,Toys,263.47,2024-03-04
10,1011,49,Non-Binary,Sports,291.82,2024-02-27
11,1012,50,Non-Binary,Sports,110.33,2024-06-26
12,1013,25,Non-Binary,Home,99.31,2024-03-29
13,1014,43,Male,Electronics,146.89,2024-03-20
14,1015,20,Non-Binary,Books,16.83,2024-02-03
15,1016,29,Female,Electronics,118.37,2024-01-27
16,1017,25,Male,Electronics,151.54,2024-04-08
17,1018,32,Male,Sports,134.54,2024-05-08
18,1019,31,Male,Home,53.88,2024-05-30
19,1020,32,Male,Toys,303.01,2024-03-19
20,1021,34,Male,Beauty,49.85,2024-02-12
21,1022,56,Non-Binary,Beauty,45.4,2024-01-17
22,1023,56,Non-Binary,Sports,74.79,2024-01-12
23,1024,35,Male,Electronics,44.24,2024-03-17
24,1025,47,Non-Binary,Electronics,118.08,2024-03-15
25,1026,54,Male,Electronics,122.23,2024-04-26
26,1027,27,Non-Binary,Toys,9.34,2024-05-13
27,1028,23,Non-Binary,Home,172.68,2024-06-01
28,1029,20,Non-Binary,Electronics,39.35,2024-05-14
29,1030,22,Non-Binary,Toys,76.77,2024-03-27
30,1031,44,Female,Clothing,238.95,2024-04-21
31,1032,32,Male,Sports,91.04,2024-06-24
32,1033,44,Female,Books,7.41,2024-02-04
33,1034,56,Non-Binary,Sports,113.23,2024-03-28
34,1035,33,Female,Electronics,37.23,2024-05-05
35,1036,19,Male,Sports,48.88,2024-04-01
36,1037,27,Male,Beauty,126.21,2024-02-18
37,1038,46,Non-Binary,Electronics,53.68,2024-02-12
38,1039,47,Female,Home,584.52,2024-04-13
39,1040,34,Female,Clothing,34.0,2024-01-05
40,1041,26,Female,Books,20.64,2024-02-28
41,1042,35,Male,Electronics,25.37,2024-02-27
42,1043,36,Male,Beauty,145.03,2024-02-03
43,1044,20,Female,Electronics,141.54,2024-02-24
44,1045,53,Male,Beauty,145.28,2024-01-06
45,1046,24,Male,Home,146.04,2024-05-30
46,1047,27,Female,Clothing,13.22,2024-05-09
47,1048,52,Male,Sports,207.71,2024-02-13
48,1049,54,Female,Sports,133.99,2024-02-01
49,1050,53,Female,Sports,135.06,2024-04-03
50,1051,31,Non-Binary,Books,18.46,2024-06-15
51,1052,33,Female,Electronics,560.43,2024-01-10
52,1053,56,Male,Sports,631.93,2024-04-06
53,1054,42,Non-Binary,Toys,61.69,2024-06-12
